                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2288,                0.88148,                0.99049,                0.67231,                0.41073,                0.45187,                0.25873,                 1.1954,                0.72927,                0.96159,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.2209,                 0.7685,                0.98007,                0.67727,                0.42352,                0.46707,                0.26488,                 1.1824,                 0.7018,                 0.9598,              0.0065552,              0.0065552,              0.0065552
                      3,                 1.2496,                0.79559,                0.99498,                0.63948,                0.39655,                0.42605,                0.23791,                 1.2194,                 0.7402,                 0.9797,              0.0096685,              0.0096685,              0.0096685
                      4,                 1.2583,                0.80021,                  1.002,                0.68224,                0.42008,                 0.4595,                0.26043,                 1.1857,                0.69324,                0.97065,               0.009505,               0.009505,               0.009505
                      5,                 1.2259,                0.76038,                0.99005,                0.69251,                0.43369,                 0.4806,                0.27367,                 1.1635,                0.66391,                0.96053,               0.009505,               0.009505,               0.009505
                      6,                 1.2053,                 0.7383,                0.98211,                 0.7061,                0.44879,                0.49827,                0.28514,                 1.1488,                0.64617,                0.95598,                0.00934,                0.00934,                0.00934
                      7,                  1.192,                0.72227,                 0.9767,                0.70716,                0.45855,                0.50997,                0.29353,                 1.1406,                0.63348,                0.95137,               0.009175,               0.009175,               0.009175
                      8,                  1.182,                 0.7112,                0.97309,                0.71413,                0.47029,                0.51872,                0.30025,                 1.1323,                0.62364,                0.94841,                0.00901,                0.00901,                0.00901
                      9,                 1.1738,                0.70118,                0.97072,                 0.7221,                0.47516,                0.52698,                0.30663,                 1.1278,                0.61641,                0.94734,               0.008845,               0.008845,               0.008845
                     10,                 1.1673,                0.69446,                0.96801,                 0.7319,                0.47361,                0.53118,                0.30975,                 1.1228,                0.60987,                0.94547,                0.00868,                0.00868,                0.00868
                     11,                 1.1637,                 0.6891,                0.96599,                0.72695,                  0.481,                0.53548,                 0.3131,                 1.1191,                0.60496,                0.94431,               0.008515,               0.008515,               0.008515
                     12,                 1.1571,                0.68356,                0.96299,                0.73503,                0.48164,                0.53904,                0.31536,                  1.116,                0.60156,                0.94243,                0.00835,                0.00835,                0.00835
                     13,                 1.1551,                0.67945,                0.96238,                0.73732,                0.48243,                0.54149,                0.31723,                 1.1143,                0.59886,                0.94185,               0.008185,               0.008185,               0.008185
                     14,                 1.1503,                0.67418,                0.96086,                0.73333,                0.48475,                0.54226,                0.31811,                 1.1134,                 0.5967,                 0.9412,                0.00802,                0.00802,                0.00802
                     15,                 1.1483,                0.67127,                0.96005,                0.73066,                0.48718,                0.54447,                0.31889,                 1.1124,                0.59466,                0.94102,               0.007855,               0.007855,               0.007855
                     16,                 1.1441,                0.66739,                 0.9586,                0.72548,                0.49248,                 0.5457,                0.31972,                 1.1112,                0.59361,                0.94071,                0.00769,                0.00769,                0.00769
                     17,                 1.1412,                 0.6645,                0.95785,                0.72462,                0.49397,                0.54599,                0.32018,                 1.1103,                0.59242,                0.94029,               0.007525,               0.007525,               0.007525
                     18,                 1.1397,                0.66255,                0.95739,                0.72353,                0.49614,                  0.547,                 0.3212,                 1.1094,                0.59136,                0.94008,                0.00736,                0.00736,                0.00736
                     19,                 1.1366,                0.65933,                0.95538,                0.72642,                0.49601,                0.54818,                0.32187,                 1.1086,                0.59054,                0.93973,               0.007195,               0.007195,               0.007195
                     20,                 1.1328,                0.65617,                0.95383,                0.73323,                0.49423,                0.54989,                0.32286,                 1.1081,                0.58968,                0.93942,                0.00703,                0.00703,                0.00703
                     21,                 1.1323,                0.65487,                 0.9535,                0.73304,                0.49723,                0.55082,                0.32334,                 1.1075,                0.58881,                0.93912,               0.006865,               0.006865,               0.006865
                     22,                 1.1305,                0.65223,                0.95222,                0.73101,                0.50053,                0.55204,                0.32416,                  1.107,                0.58803,                0.93883,                 0.0067,                 0.0067,                 0.0067
                     23,                 1.1275,                 0.6476,                0.95114,                0.72995,                0.50138,                0.55312,                0.32469,                 1.1062,                0.58715,                0.93838,               0.006535,               0.006535,               0.006535
                     24,                 1.1264,                0.64664,                0.94993,                0.73631,                0.49846,                0.55398,                 0.3254,                 1.1055,                0.58649,                0.93794,                0.00637,                0.00637,                0.00637
                     25,                 1.1235,                0.64389,                0.95022,                0.73309,                0.50237,                0.55501,                 0.3259,                 1.1046,                0.58571,                0.93756,               0.006205,               0.006205,               0.006205
                     26,                 1.1233,                0.64229,                0.95007,                0.73969,                0.49966,                0.55609,                  0.327,                 1.1041,                0.58502,                0.93723,                0.00604,                0.00604,                0.00604
                     27,                 1.1208,                0.64022,                0.94776,                0.74207,                 0.4989,                0.55638,                 0.3275,                 1.1034,                0.58417,                0.93679,               0.005875,               0.005875,               0.005875
                     28,                 1.1179,                0.63759,                0.94513,                0.73761,                0.50279,                0.55672,                0.32791,                 1.1029,                0.58339,                 0.9363,                0.00571,                0.00571,                0.00571
                     29,                 1.1161,                0.63574,                0.94577,                0.73652,                0.50484,                0.55707,                0.32846,                 1.1022,                0.58244,                0.93574,               0.005545,               0.005545,               0.005545
                     30,                 1.1156,                0.63407,                0.94537,                0.74212,                0.50191,                0.55788,                0.32962,                 1.1017,                0.58159,                0.93538,                0.00538,                0.00538,                0.00538
                     31,                 1.1121,                0.63208,                0.94589,                0.74356,                0.50234,                0.55923,                0.33061,                  1.101,                0.58087,                0.93505,               0.005215,               0.005215,               0.005215
                     32,                 1.1093,                0.62831,                 0.9433,                0.74277,                0.50491,                0.56145,                0.33158,                 1.1005,                   0.58,                0.93474,                0.00505,                0.00505,                0.00505
                     33,                 1.1097,                0.62673,                 0.9431,                0.74595,                0.50412,                0.56254,                0.33261,                 1.0999,                0.57926,                0.93438,               0.004885,               0.004885,               0.004885
                     34,                 1.1076,                0.62474,                0.94319,                0.74522,                0.50683,                0.56401,                0.33295,                 1.0993,                0.57863,                0.93407,                0.00472,                0.00472,                0.00472
                     35,                 1.1051,                0.62292,                0.94156,                0.74147,                0.50752,                0.56443,                0.33385,                 1.0989,                0.57794,                0.93372,               0.004555,               0.004555,               0.004555
                     36,                 1.1032,                 0.6206,                0.94118,                0.73895,                0.51057,                0.56556,                0.33422,                 1.0983,                0.57722,                0.93339,                0.00439,                0.00439,                0.00439
                     37,                 1.1009,                0.61915,                0.94082,                 0.7389,                0.50938,                0.56586,                0.33415,                 1.0981,                0.57673,                0.93309,               0.004225,               0.004225,               0.004225
                     38,                  1.098,                0.61562,                0.94003,                0.73933,                0.50998,                 0.5663,                0.33484,                 1.0974,                0.57603,                0.93279,                0.00406,                0.00406,                0.00406
                     39,                 1.0953,                0.61371,                0.93796,                0.73803,                 0.5118,                0.56775,                0.33596,                 1.0968,                0.57544,                0.93235,               0.003895,               0.003895,               0.003895
                     40,                 1.0933,                0.61136,                0.93756,                0.74333,                0.51079,                 0.5688,                0.33676,                 1.0963,                0.57495,                0.93212,                0.00373,                0.00373,                0.00373
                     41,                 1.0932,                0.61019,                0.93775,                0.74626,                0.51018,                0.56905,                 0.3369,                 1.0958,                0.57449,                0.93186,               0.003565,               0.003565,               0.003565
                     42,                 1.0895,                 0.6061,                0.93755,                0.74765,                0.51017,                0.56975,                0.33735,                 1.0954,                0.57388,                0.93176,                 0.0034,                 0.0034,                 0.0034
                     43,                 1.0873,                0.60246,                0.93545,                0.74705,                0.51136,                0.57058,                0.33787,                 1.0948,                0.57319,                0.93152,               0.003235,               0.003235,               0.003235
                     44,                 1.0852,                0.59992,                0.93396,                0.74371,                0.51448,                0.57075,                0.33807,                 1.0944,                0.57262,                 0.9312,                0.00307,                0.00307,                0.00307
                     45,                 1.0828,                 0.5978,                0.93383,                0.74188,                0.51511,                0.57164,                0.33844,                 1.0941,                 0.5722,                0.93096,               0.002905,               0.002905,               0.002905
                     46,                 1.0805,                0.59497,                0.93136,                0.74434,                0.51502,                0.57229,                0.33926,                 1.0938,                0.57184,                0.93054,                0.00274,                0.00274,                0.00274
                     47,                 1.0783,                0.59243,                0.93141,                0.74552,                  0.514,                0.57235,                0.33938,                 1.0935,                 0.5715,                0.93017,               0.002575,               0.002575,               0.002575
                     48,                 1.0758,                0.58844,                 0.9295,                0.64751,                0.51269,                0.57236,                0.33962,                 1.0933,                  0.571,                0.92967,                0.00241,                0.00241,                0.00241
                     49,                 1.0724,                0.58556,                0.92896,                0.64494,                0.53179,                0.57356,                0.34084,                 1.0932,                0.57065,                0.92944,               0.002245,               0.002245,               0.002245
                     50,                 1.0712,                0.58269,                0.92693,                0.64378,                 0.5342,                0.57359,                0.34089,                 1.0929,                0.57022,                0.92898,                0.00208,                0.00208,                0.00208
                     51,                 1.1147,                 0.5923,                0.93292,                 0.6659,                0.52202,                0.57402,                0.34131,                 1.0927,                0.57017,                0.92856,               0.001915,               0.001915,               0.001915
                     52,                 1.1106,                0.58775,                 0.9312,                0.66282,                0.52174,                0.57496,                0.34189,                 1.0926,                0.57006,                0.92828,                0.00175,                0.00175,                0.00175
                     53,                  1.108,                0.58288,                0.93186,                0.64697,                0.53029,                0.57437,                0.34144,                 1.0925,                0.56998,                0.92817,               0.001585,               0.001585,               0.001585
                     54,                 1.1037,                0.57834,                0.93026,                0.66546,                0.52232,                0.57487,                0.34156,                 1.0926,                0.57019,                 0.9281,                0.00142,                0.00142,                0.00142
                     55,                 1.0994,                0.57312,                0.92855,                0.67161,                0.51586,                0.57514,                0.34205,                 1.0925,                0.57027,                0.92798,               0.001255,               0.001255,               0.001255
                     56,                 1.0955,                0.56892,                0.92776,                0.66828,                0.51817,                0.57584,                0.34187,                 1.0926,                0.57037,                0.92794,                0.00109,                0.00109,                0.00109
                     57,                 1.0925,                0.56497,                0.92728,                0.66999,                0.51804,                0.57703,                0.34264,                 1.0927,                0.57061,                 0.9281,               0.000925,               0.000925,               0.000925
