                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4885,                 1.5606,                 1.0511,                0.48689,                0.25502,                0.25445,                0.13946,                  1.388,                 1.0396,                0.98959,              0.0033303,              0.0033303,              0.0033303
                      2,                 1.4157,                 1.0934,                 1.0184,                0.51104,                0.27067,                0.26692,                0.14151,                 1.4225,                 1.0602,                 1.0071,              0.0064987,              0.0064987,              0.0064987
                      3,                 1.4256,                 1.0279,                 1.0244,                0.40747,                0.27322,                0.27182,                0.14338,                 1.4131,                 0.9874,                 1.0162,              0.0095021,              0.0095021,              0.0095021
                      4,                  1.407,                0.97233,                 1.0213,                0.44122,                0.31337,                0.31986,                0.17017,                 1.3438,                0.87144,                0.98444,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.3722,                0.92163,                 1.0096,                0.46804,                0.33286,                0.34197,                0.18534,                 1.3077,                0.83923,                0.97219,              0.0092575,              0.0092575,              0.0092575
                      6,                 1.3511,                0.89367,                 1.0007,                0.49554,                0.34973,                0.36843,                0.20079,                 1.2855,                0.80231,                 0.9639,                0.00901,                0.00901,                0.00901
                      7,                 1.3343,                0.87405,                0.99503,                0.58464,                0.36062,                0.37518,                 0.2067,                  1.272,                0.78657,                0.96145,              0.0087625,              0.0087625,              0.0087625
                      8,                 1.3239,                0.85964,                0.99076,                0.61549,                0.37209,                  0.392,                0.21806,                 1.2536,                0.76521,                0.95511,               0.008515,               0.008515,               0.008515
                      9,                 1.3134,                 0.8518,                0.98752,                0.51654,                0.37367,                0.39845,                0.22233,                  1.245,                0.75444,                0.95138,              0.0082675,              0.0082675,              0.0082675
                     10,                 1.3087,                0.84322,                0.98519,                0.62477,                0.37771,                0.40693,                0.22722,                 1.2376,                0.74532,                0.94848,                0.00802,                0.00802,                0.00802
                     11,                 1.3002,                0.83456,                0.98232,                0.63639,                0.37919,                0.41225,                0.23079,                  1.232,                0.73775,                 0.9451,              0.0077725,              0.0077725,              0.0077725
                     12,                 1.2946,                0.82737,                0.98014,                0.53707,                0.38459,                0.41588,                0.23339,                 1.2279,                0.73214,                 0.9438,               0.007525,               0.007525,               0.007525
                     13,                  1.292,                0.82351,                0.97896,                0.64097,                0.38562,                0.41968,                0.23541,                 1.2245,                0.72777,                0.94287,              0.0072775,              0.0072775,              0.0072775
                     14,                 1.2854,                0.81714,                 0.9758,                0.63976,                0.38743,                0.42171,                0.23699,                 1.2216,                0.72403,                0.94157,                0.00703,                0.00703,                0.00703
                     15,                  1.282,                0.81351,                0.97444,                0.63301,                0.39521,                0.42394,                0.23824,                   1.22,                 0.7215,                0.94086,              0.0067825,              0.0067825,              0.0067825
                     16,                 1.2777,                0.80879,                0.97315,                0.64256,                 0.3908,                0.42565,                0.23949,                  1.218,                0.71943,                0.94021,               0.006535,               0.006535,               0.006535
                     17,                 1.2756,                0.80607,                0.97296,                0.64307,                0.39149,                  0.427,                0.24015,                 1.2168,                 0.7176,                0.93965,              0.0062875,              0.0062875,              0.0062875
                     18,                 1.2729,                0.80227,                0.97107,                0.64687,                 0.3938,                0.42862,                0.24104,                 1.2156,                0.71623,                0.93905,                0.00604,                0.00604,                0.00604
                     19,                 1.2681,                0.79733,                0.96988,                0.64878,                0.39488,                0.43005,                0.24206,                 1.2144,                0.71483,                0.93849,              0.0057925,              0.0057925,              0.0057925
                     20,                 1.2647,                0.79403,                0.96867,                0.64576,                0.39692,                0.43105,                0.24272,                 1.2136,                0.71367,                0.93811,               0.005545,               0.005545,               0.005545
                     21,                 1.2622,                0.79186,                  0.967,                0.64254,                0.39792,                0.43179,                0.24344,                 1.2126,                0.71243,                0.93762,              0.0052975,              0.0052975,              0.0052975
                     22,                 1.2603,                0.78914,                0.96649,                0.64604,                0.39779,                0.43322,                0.24439,                 1.2118,                0.71132,                0.93726,                0.00505,                0.00505,                0.00505
                     23,                 1.2543,                 0.7829,                0.96514,                0.64778,                0.39781,                0.43425,                0.24474,                  1.211,                0.71014,                 0.9368,              0.0048025,              0.0048025,              0.0048025
                     24,                 1.2536,                0.78103,                0.96416,                 0.6506,                0.39963,                0.43536,                0.24546,                   1.21,                0.70896,                0.93629,               0.004555,               0.004555,               0.004555
                     25,                 1.2509,                0.77809,                0.96284,                0.64985,                0.40075,                0.43579,                0.24597,                 1.2089,                0.70777,                0.93582,              0.0043075,              0.0043075,              0.0043075
                     26,                  1.247,                0.77496,                0.96181,                0.65234,                0.40077,                0.43684,                 0.2466,                 1.2081,                0.70667,                0.93527,                0.00406,                0.00406,                0.00406
                     27,                 1.2446,                0.77124,                0.96124,                0.65516,                0.40014,                0.43803,                0.24737,                 1.2072,                0.70556,                0.93478,              0.0038125,              0.0038125,              0.0038125
                     28,                 1.2433,                0.76909,                0.95996,                0.65188,                0.40302,                0.43862,                0.24797,                 1.2065,                0.70469,                0.93435,               0.003565,               0.003565,               0.003565
                     29,                  1.239,                0.76464,                0.95903,                0.65169,                0.40513,                0.43923,                0.24866,                 1.2055,                0.70361,                0.93388,              0.0033175,              0.0033175,              0.0033175
                     30,                 1.2361,                0.76125,                 0.9576,                0.65509,                0.40474,                0.44007,                0.24923,                 1.2047,                0.70261,                0.93336,                0.00307,                0.00307,                0.00307
                     31,                 1.2667,                0.76094,                0.96072,                0.65402,                0.40643,                0.44082,                0.24957,                  1.204,                 0.7018,                0.93306,              0.0028225,              0.0028225,              0.0028225
                     32,                 1.2607,                0.75546,                0.95807,                0.65546,                0.40552,                0.44105,                0.25032,                  1.203,                0.70137,                0.93265,               0.002575,               0.002575,               0.002575
                     33,                 1.2577,                0.75114,                0.95655,                 0.6563,                0.40543,                0.44158,                0.25084,                 1.2021,                0.70098,                 0.9322,              0.0023275,              0.0023275,              0.0023275
                     34,                 1.2535,                0.74658,                0.95524,                0.65787,                0.40561,                0.44229,                0.25144,                 1.2014,                0.70065,                0.93182,                0.00208,                0.00208,                0.00208
                     35,                 1.2495,                 0.7417,                0.95398,                0.65933,                0.40478,                0.44252,                0.25181,                 1.2007,                0.70014,                 0.9315,              0.0018325,              0.0018325,              0.0018325
                     36,                 1.2448,                0.73738,                0.95267,                0.66256,                0.40428,                0.44321,                0.25224,                    1.2,                0.70008,                0.93117,               0.001585,               0.001585,               0.001585
                     37,                 1.2403,                0.73216,                0.95048,                0.66821,                0.40281,                0.44407,                0.25294,                 1.1992,                0.70005,                0.93076,              0.0013375,              0.0013375,              0.0013375
                     38,                 1.2372,                0.72676,                0.94948,                0.66814,                0.40343,                0.44488,                0.25329,                 1.1985,                0.69972,                0.93036,                0.00109,                0.00109,                0.00109
                     39,                 1.2325,                0.72154,                0.94793,                0.66636,                 0.4035,                0.44527,                0.25375,                 1.1977,                0.69942,                0.92988,              0.0008425,              0.0008425,              0.0008425
                     40,                 1.2274,                0.71609,                0.94657,                0.66617,                0.40428,                0.44582,                 0.2544,                  1.197,                0.69905,                0.92953,               0.000595,               0.000595,               0.000595
