                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3233,                 1.1016,                 1.0077,                0.60615,                0.35858,                0.38468,                0.21622,                 1.2663,                0.80576,                0.95525,              0.0033297,              0.0033297,              0.0033297
                      2,                 1.2809,                 0.8398,                0.97752,                0.62371,                0.36452,                0.38812,                0.21373,                 1.2809,                0.82163,                0.95711,              0.0065531,              0.0065531,              0.0065531
                      3,                 1.3148,                0.86544,                 0.9909,                0.54614,                0.34198,                0.33657,                0.18073,                 1.3354,                0.86839,                0.99322,              0.0096665,              0.0096665,              0.0096665
                      4,                 1.3147,                0.86092,                0.99264,                0.60189,                0.36523,                0.38772,                0.21004,                 1.2769,                0.79422,                0.96678,               0.009505,               0.009505,               0.009505
                      5,                 1.2804,                0.81911,                0.98032,                0.63959,                0.38054,                0.41249,                0.22757,                 1.2473,                 0.7592,                0.95657,               0.009505,               0.009505,               0.009505
                      6,                 1.2604,                 0.7956,                0.97347,                0.65083,                0.40372,                0.43792,                0.24319,                 1.2235,                0.72595,                0.94465,                0.00934,                0.00934,                0.00934
                      7,                 1.2468,                0.77972,                0.96841,                0.67391,                0.41131,                0.44893,                0.25133,                 1.2094,                0.71027,                0.94205,               0.009175,               0.009175,               0.009175
                      8,                 1.2347,                0.76591,                0.96424,                0.67308,                0.41516,                0.46188,                0.26139,                  1.199,                0.69426,                0.93989,                0.00901,                0.00901,                0.00901
                      9,                  1.227,                0.75742,                0.96165,                 0.7008,                 0.4193,                0.47302,                0.26803,                 1.1902,                0.68275,                 0.9366,               0.008845,               0.008845,               0.008845
                     10,                 1.2206,                0.74936,                0.95922,                0.69282,                0.42667,                  0.478,                0.27271,                 1.1814,                0.67385,                0.93216,                0.00868,                0.00868,                0.00868
                     11,                 1.2132,                0.74117,                0.95703,                0.70123,                0.43444,                0.48638,                0.27632,                 1.1776,                0.66735,                 0.9309,               0.008515,               0.008515,               0.008515
                     12,                 1.2085,                0.73631,                0.95628,                0.70533,                0.43784,                0.49192,                0.28143,                 1.1718,                 0.6604,                 0.9302,                0.00835,                0.00835,                0.00835
                     13,                 1.2047,                0.73198,                0.95423,                0.71854,                0.44358,                 0.4969,                 0.2846,                 1.1673,                0.65549,                 0.9291,               0.008185,               0.008185,               0.008185
                     14,                 1.1998,                0.72716,                0.95193,                0.71108,                0.44753,                 0.5014,                0.28674,                 1.1651,                0.65127,                0.92701,                0.00802,                0.00802,                0.00802
                     15,                 1.1968,                0.72367,                 0.9508,                0.71025,                0.44995,                0.50482,                0.28811,                 1.1625,                0.64751,                0.92596,               0.007855,               0.007855,               0.007855
                     16,                 1.1933,                0.71984,                0.95039,                0.71905,                0.44821,                0.50505,                0.28934,                 1.1599,                0.64523,                0.92529,                0.00769,                0.00769,                0.00769
