                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1709,                0.69116,                0.94866,                0.71467,                0.44287,                0.49894,                0.29072,                 1.1596,                0.66343,                0.92403,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.1598,                0.67731,                0.94434,                0.71076,                0.44269,                0.49545,                0.28838,                 1.1557,                0.66203,                0.92408,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.1532,                0.67724,                0.94257,                0.69392,                0.44222,                0.49203,                0.28562,                 1.1596,                0.66451,                0.92826,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1557,                0.67311,                0.94349,                0.69586,                0.44658,                 0.4964,                0.28896,                 1.1594,                0.66234,                0.92575,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1515,                0.66834,                0.94054,                0.71247,                 0.4403,                0.50077,                0.28873,                 1.1595,                0.66253,                0.92603,                 0.0001,                 0.0001,                 0.0001
                      6,                  1.146,                0.66279,                0.94039,                0.70222,                0.45356,                0.51346,                0.29492,                 1.1589,                0.66154,                0.92692,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.1511,                0.66455,                0.94188,                0.69882,                0.45754,                0.50001,                0.28713,                 1.1611,                0.66565,                0.92812,                 0.0001,                 0.0001,                 0.0001
                      8,                  1.143,                0.65981,                 0.9388,                0.71119,                0.44958,                0.49671,                0.28367,                 1.1614,                0.66496,                 0.9261,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.1463,                0.65843,                0.93988,                0.71384,                0.43184,                0.49156,                0.28373,                 1.1629,                0.66808,                0.92746,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.1427,                0.65933,                0.93815,                0.69569,                0.43436,                0.49188,                0.28225,                 1.1602,                0.66665,                0.92562,                 0.0001,                 0.0001,                 0.0001
                     11,                  1.138,                 0.6534,                0.93787,                0.69444,                0.44992,                0.49247,                0.28345,                 1.1649,                0.66682,                0.92788,                 0.0001,                 0.0001,                 0.0001
                     12,                 1.1382,                0.65364,                0.93571,                0.67976,                 0.4578,                0.50594,                 0.2851,                 1.1649,                0.66749,                 0.9287,                 0.0001,                 0.0001,                 0.0001
                     13,                 1.1355,                0.64919,                0.93644,                0.69215,                0.44185,                0.49009,                0.28211,                 1.1629,                0.66714,                0.92758,                 0.0001,                 0.0001,                 0.0001
                     14,                 1.1362,                0.64738,                0.93426,                0.69552,                0.43828,                0.48848,                0.28118,                 1.1653,                0.66626,                0.92921,                 0.0001,                 0.0001,                 0.0001
                     15,                 1.1344,                0.64585,                0.93648,                0.71185,                0.43772,                0.48661,                0.28158,                 1.1659,                0.66809,                 0.9315,                 0.0001,                 0.0001,                 0.0001
                     16,                 1.1304,                0.64511,                 0.9331,                0.74226,                0.42119,                0.49101,                0.28453,                 1.1661,                0.66652,                0.92966,                 0.0001,                 0.0001,                 0.0001
                     17,                 1.1303,                0.64355,                0.93338,                0.68889,                 0.4388,                0.48464,                0.27983,                 1.1698,                0.66679,                0.92941,                 0.0001,                 0.0001,                 0.0001
                     18,                 1.1275,                0.63833,                0.93146,                0.59374,                0.49259,                 0.5028,                0.28996,                 1.1707,                0.66741,                0.93078,                 0.0001,                 0.0001,                 0.0001
                     19,                 1.1276,                0.63746,                0.93117,                0.70286,                0.43314,                0.48308,                0.27824,                  1.173,                0.67109,                0.93129,                 0.0001,                 0.0001,                 0.0001
                     20,                 1.1247,                 0.6364,                0.93187,                0.64626,                0.44626,                 0.4939,                0.28414,                 1.1717,                0.67064,                0.93094,                 0.0001,                 0.0001,                 0.0001
