                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1405,                0.66752,                0.94172,                0.67011,                0.42703,                0.49614,                 0.2857,                 1.2204,                0.71274,                0.93915,                 0.0001,                 0.0001,                 0.0001
                      2,                  1.138,                0.66169,                0.93944,                0.63973,                 0.4217,                0.49343,                0.28696,                  1.223,                0.72235,                0.94053,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.1358,                0.66057,                0.93721,                0.62293,                0.43242,                0.49565,                0.28759,                 1.2143,                0.71839,                0.93768,               9.55e-05,               9.55e-05,               9.55e-05
                      4,                 1.1323,                0.65822,                0.93824,                0.64351,                0.43106,                 0.4956,                0.28827,                 1.2129,                0.71679,                 0.9377,                9.1e-05,                9.1e-05,                9.1e-05
                      5,                 1.1363,                0.65873,                 0.9401,                0.63574,                0.43205,                0.49665,                0.28775,                 1.2186,                0.72142,                0.93881,               8.65e-05,               8.65e-05,               8.65e-05
                      6,                 1.1374,                0.66057,                0.93797,                0.64816,                 0.4291,                 0.4965,                 0.2881,                 1.2172,                0.71855,                0.93818,                8.2e-05,                8.2e-05,                8.2e-05
                      7,                 1.1341,                0.65347,                0.93686,                0.61278,                0.44562,                0.49807,                0.28976,                 1.2163,                0.72684,                0.93909,               7.75e-05,               7.75e-05,               7.75e-05
                      8,                 1.1265,                0.65093,                 0.9367,                 0.6369,                0.45326,                0.49924,                0.28982,                 1.2105,                0.72382,                0.93818,                7.3e-05,                7.3e-05,                7.3e-05
                      9,                 1.1316,                0.65257,                0.93621,                0.64652,                0.45294,                0.49944,                0.28957,                 1.2127,                0.72639,                0.93818,               6.85e-05,               6.85e-05,               6.85e-05
                     10,                 1.1274,                0.64859,                0.93542,                0.65321,                0.45039,                0.49984,                0.29046,                  1.211,                0.72714,                0.93838,                6.4e-05,                6.4e-05,                6.4e-05
                     11,                 1.1215,                0.64954,                 0.9349,                 0.6538,                 0.4516,                 0.5001,                0.28998,                 1.2097,                0.72239,                0.93765,               5.95e-05,               5.95e-05,               5.95e-05
                     12,                 1.1248,                0.65069,                0.93425,                0.64709,                 0.4564,                0.50037,                0.29103,                 1.2158,                0.72302,                0.93902,                5.5e-05,                5.5e-05,                5.5e-05
                     13,                 1.1211,                0.64614,                0.93451,                0.64774,                0.45516,                0.49969,                0.28975,                 1.2152,                0.72626,                0.93851,               5.05e-05,               5.05e-05,               5.05e-05
                     14,                  1.129,                 0.6515,                0.93512,                0.63941,                0.45683,                0.50026,                0.29028,                 1.2138,                0.72175,                0.93798,                4.6e-05,                4.6e-05,                4.6e-05
                     15,                 1.1314,                0.65498,                 0.9358,                0.65308,                0.44841,                0.50127,                0.29074,                 1.2102,                0.72433,                0.93792,               4.15e-05,               4.15e-05,               4.15e-05
                     16,                 1.1232,                0.64643,                0.93361,                0.65625,                0.45127,                0.50017,                0.29028,                 1.2119,                0.73005,                0.93836,                3.7e-05,                3.7e-05,                3.7e-05
                     17,                 1.1317,                0.65188,                0.93448,                0.65729,                0.44809,                0.50133,                0.29141,                 1.2125,                0.73122,                0.93836,               3.25e-05,               3.25e-05,               3.25e-05
                     18,                 1.1222,                0.64628,                0.93404,                0.65536,                0.45134,                 0.5011,                0.29043,                 1.2161,                 0.7301,                0.93847,                2.8e-05,                2.8e-05,                2.8e-05
                     19,                 1.1226,                0.64637,                0.93331,                0.65078,                0.45404,                0.50118,                0.28973,                  1.216,                0.72603,                0.93848,               2.35e-05,               2.35e-05,               2.35e-05
                     20,                 1.1242,                0.64726,                 0.9346,                0.64971,                0.45538,                0.50188,                0.29024,                 1.2138,                0.72943,                0.93864,                1.9e-05,                1.9e-05,                1.9e-05
